 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   8.726E-03  4.509E-06  167.65 m      7.46 m      3.24 m   
 110.00 MeV   8.127E-03  4.129E-06  198.73 m      8.69 m      3.82 m   
 120.00 MeV   7.623E-03  3.810E-06  231.99 m      9.91 m      4.43 m   
 130.00 MeV   7.194E-03  3.538E-06  267.33 m     11.13 m      5.08 m   
 140.00 MeV   6.823E-03  3.303E-06  304.69 m     12.36 m      5.77 m   
 150.00 MeV   6.499E-03  3.099E-06  344.00 m     13.59 m      6.48 m   
 160.00 MeV   6.215E-03  2.919E-06  385.18 m     14.82 m      7.23 m   
 170.00 MeV   5.962E-03  2.760E-06  428.18 m     16.06 m      8.00 m   
 180.00 MeV   5.737E-03  2.617E-06  472.93 m     17.31 m      8.80 m   
 200.00 MeV   5.352E-03  2.374E-06  567.41 m     21.95 m     10.47 m   
 225.00 MeV   4.965E-03  2.128E-06  694.38 m     28.46 m     12.69 m   
 250.00 MeV   4.653E-03  1.930E-06  830.55 m     34.46 m     15.04 m   
 275.00 MeV   4.398E-03  1.766E-06  975.23 m     40.18 m     17.50 m   
 300.00 MeV   4.184E-03  1.629E-06    1.13 km    45.72 m     20.06 m   
 325.00 MeV   4.004E-03  1.512E-06    1.29 km    51.12 m     22.72 m   
 350.00 MeV   3.849E-03  1.411E-06    1.45 km    56.42 m     25.45 m   
 375.00 MeV   3.715E-03  1.324E-06    1.63 km    61.62 m     28.25 m   
 400.00 MeV   3.598E-03  1.246E-06    1.81 km    66.75 m     31.11 m   
 450.00 MeV   3.405E-03  1.117E-06    2.18 km    85.40 m     36.99 m   
 500.00 MeV   3.251E-03  1.012E-06    2.57 km   102.16 m     43.05 m   
 550.00 MeV   3.128E-03  9.264E-07    2.98 km   117.73 m     49.23 m   
 600.00 MeV   3.026E-03  8.542E-07    3.41 km   132.46 m     55.50 m   
 650.00 MeV   2.941E-03  7.927E-07    3.85 km   146.51 m     61.84 m   
 700.00 MeV   2.870E-03  7.397E-07    4.30 km   160.01 m     68.22 m   
 800.00 MeV   2.758E-03  6.530E-07    5.23 km   207.60 m     81.06 m   
 900.00 MeV   2.675E-03  5.849E-07    6.19 km   248.76 m     93.88 m   
   1.00 GeV   2.612E-03  5.301E-07    7.18 km   285.88 m    106.61 m   
   1.10 GeV   2.564E-03  4.849E-07    8.20 km   320.07 m    119.21 m   
   1.20 GeV   2.526E-03  4.469E-07    9.23 km   351.98 m    131.63 m   
   1.30 GeV   2.497E-03  4.147E-07   10.27 km   381.99 m    143.85 m   
   1.40 GeV   2.473E-03  3.869E-07   11.32 km   410.40 m    155.85 m   
